scenario_type,profile,target_cos,target_jac,len_ei,len_su,len_fo
trajectory_overconfidence_to_humility,cell_87_messages_recog_multi_psycho,0.7523,0.8721,491,484,181
trajectory_overconfidence_to_humility,cell_87_messages_recog_multi_psycho,0.7938,0.9107,298,385,48
trajectory_overconfidence_to_humility,cell_87_messages_recog_multi_psycho,0.7735,0.8824,48,459,156
trajectory_overconfidence_to_humility,cell_87_messages_recog_multi_psycho,0.8226,0.9118,156,499,81
trajectory_overconfidence_to_humility,cell_87_messages_recog_multi_psycho,0.7124,0.8491,256,399,99
trajectory_overconfidence_to_humility,cell_87_messages_recog_multi_psycho,0.8359,0.9275,377,478,91
trajectory_overconfidence_to_humility,cell_87_messages_recog_multi_psycho,0.7465,0.8667,230,359,107
trajectory_overconfidence_to_humility,cell_87_messages_recog_multi_psycho,0.6237,0.7692,158,387,122
trajectory_overconfidence_to_humility,cell_87_messages_recog_multi_psycho,0.6781,0.8161,467,447,217
trajectory_overconfidence_to_humility,cell_87_messages_recog_multi_psycho,0.8740,0.9692,423,471,25
trajectory_overconfidence_to_humility,cell_87_messages_recog_multi_psycho,0.8183,0.9012,612,500,208
trajectory_overconfidence_to_humility,cell_87_messages_recog_multi_psycho,0.6125,0.7609,407,484,286
trajectory_overconfidence_to_humility,cell_87_messages_recog_multi_psycho,0.6717,0.8039,225,332,180
trajectory_overconfidence_to_humility,cell_87_messages_recog_multi_psycho,0.6460,0.7879,292,543,177
trajectory_overconfidence_to_humility,cell_87_messages_recog_multi_psycho,0.6496,0.7887,329,451,255
trajectory_overconfidence_to_humility,cell_87_messages_recog_multi_psycho,0.7554,0.8611,272,400,254
mood_frustration_to_breakthrough,cell_85_messages_recog_single_psycho,0.6349,0.7778,293,439,239
mood_frustration_to_breakthrough,cell_85_messages_recog_single_psycho,0.6749,0.8108,342,434,204
mood_frustration_to_breakthrough,cell_85_messages_recog_single_psycho,0.6742,0.8077,357,453,279
mood_frustration_to_breakthrough,cell_85_messages_recog_single_psycho,0.6307,0.7857,276,593,146
mood_frustration_to_breakthrough,cell_85_messages_recog_single_psycho,0.6035,0.7538,278,421,246
mood_frustration_to_breakthrough,cell_85_messages_recog_single_psycho,0.5606,0.7200,211,368,220
mood_frustration_to_breakthrough,cell_83_messages_base_multi_psycho,0.7545,0.8657,295,513,190
mood_frustration_to_breakthrough,cell_85_messages_recog_single_psycho,0.6900,0.8333,482,396,190
mood_frustration_to_breakthrough,cell_85_messages_recog_single_psycho,0.6506,0.8217,1164,437,246
mood_frustration_to_breakthrough,cell_85_messages_recog_single_psycho,0.6655,0.8000,342,659,257
misconception_correction_flow,cell_85_messages_recog_single_psycho,0.6236,0.7703,331,464,249
misconception_correction_flow,cell_85_messages_recog_single_psycho,0.5321,0.6964,226,475,215
misconception_correction_flow,cell_85_messages_recog_single_psycho,0.7053,0.8370,476,407,257
misconception_correction_flow,cell_85_messages_recog_single_psycho,0.6667,0.8095,311,412,150
misconception_correction_flow,cell_85_messages_recog_single_psycho,0.7447,0.8667,392,450,133
misconception_correction_flow,cell_85_messages_recog_single_psycho,0.5910,0.7463,321,385,244
misconception_correction_flow,cell_85_messages_recog_single_psycho,0.7218,0.8481,395,635,183
misconception_correction_flow,cell_85_messages_recog_single_psycho,0.7196,0.8375,319,451,258
trajectory_disengagement_to_ownership,cell_81_messages_base_single_psycho,0.6035,0.7538,255,482,201
trajectory_disengagement_to_ownership,cell_81_messages_base_single_psycho,0.5850,0.7500,350,391,199
trajectory_disengagement_to_ownership,cell_81_messages_base_single_psycho,0.7131,0.8356,358,433,193
trajectory_disengagement_to_ownership,cell_81_messages_base_single_psycho,0.6619,0.7966,193,311,216
trajectory_disengagement_to_ownership,cell_81_messages_base_single_psycho,0.7456,0.8621,256,481,145
trajectory_disengagement_to_ownership,cell_81_messages_base_single_psycho,0.6153,0.7619,237,406,218
trajectory_disengagement_to_ownership,cell_81_messages_base_single_psycho,0.6802,0.8125,277,406,186
trajectory_disengagement_to_ownership,cell_81_messages_base_single_psycho,0.6275,0.7714,280,443,270
trajectory_disengagement_to_ownership,cell_81_messages_base_single_psycho,0.7100,0.8333,280,404,161
misconception_correction_flow,cell_85_messages_recog_single_psycho,0.5955,0.7470,334,441,370
misconception_correction_flow,cell_85_messages_recog_single_psycho,0.7421,0.8996,3270,461,221
misconception_correction_flow,cell_85_messages_recog_single_psycho,0.7080,0.8438,325,483,138
misconception_correction_flow,cell_85_messages_recog_single_psycho,0.7788,0.8776,138,592,231
mood_frustration_to_breakthrough,cell_83_messages_base_multi_psycho,0.7560,0.8615,250,647,201
mood_frustration_to_breakthrough,cell_83_messages_base_multi_psycho,0.6271,0.7738,414,400,282
mood_frustration_to_breakthrough,cell_83_messages_base_multi_psycho,0.6743,0.8056,282,410,264
mood_frustration_to_breakthrough,cell_83_messages_base_multi_psycho,0.6435,0.7867,341,547,211
mood_frustration_to_breakthrough,cell_83_messages_base_multi_psycho,0.6700,0.8654,3240,405,213
mood_frustration_to_breakthrough,cell_83_messages_base_multi_psycho,0.7385,0.8519,213,314,160
trajectory_disengagement_to_ownership,cell_81_messages_base_single_psycho,0.6713,0.8065,285,391,184
trajectory_disengagement_to_ownership,cell_81_messages_base_single_psycho,0.6184,0.7765,466,523,220
trajectory_disengagement_to_ownership,cell_81_messages_base_single_psycho,0.5378,0.7000,298,453,287
trajectory_disengagement_to_ownership,cell_81_messages_base_single_psycho,0.6188,0.7656,287,377,260
trajectory_disengagement_to_ownership,cell_81_messages_base_single_psycho,0.5840,0.7500,323,482,187
trajectory_disengagement_to_ownership,cell_81_messages_base_single_psycho,0.6391,0.7812,247,452,212
trajectory_disengagement_to_ownership,cell_81_messages_base_single_psycho,0.6176,0.7671,356,278,225
trajectory_disengagement_to_ownership,cell_81_messages_base_single_psycho,0.7023,0.8367,225,320,103
trajectory_disengagement_to_ownership,cell_81_messages_base_single_psycho,0.7870,0.8837,103,376,188
trajectory_disengagement_to_ownership,cell_81_messages_base_single_psycho,0.7293,0.8438,262,475,223
trajectory_disengagement_to_ownership,cell_81_messages_base_single_psycho,0.7784,0.8784,310,509,202
trajectory_disengagement_to_ownership,cell_81_messages_base_single_psycho,0.7930,0.8916,390,523,207
trajectory_disengagement_to_ownership,cell_81_messages_base_single_psycho,0.5484,0.7083,207,443,170
trajectory_disengagement_to_ownership,cell_81_messages_base_single_psycho,0.6987,0.8254,170,382,288
trajectory_disengagement_to_ownership,cell_81_messages_base_single_psycho,0.5799,0.7391,233,341,307
trajectory_disengagement_to_ownership,cell_81_messages_base_single_psycho,0.7354,0.8485,261,387,194
trajectory_disengagement_to_ownership,cell_81_messages_base_single_psycho,0.6936,0.8193,335,393,272
trajectory_disengagement_to_ownership,cell_81_messages_base_single_psycho,0.6906,0.8171,272,178,322
trajectory_disengagement_to_ownership,cell_81_messages_base_single_psycho,0.6551,0.7917,260,408,281
mutual_transformation_journey,cell_85_messages_recog_single_psycho,0.5720,0.7333,402,422,249
mutual_transformation_journey,cell_85_messages_recog_single_psycho,0.8815,0.9667,415,505,24
mutual_transformation_journey,cell_85_messages_recog_single_psycho,0.6690,0.8049,388,437,269
mutual_transformation_journey,cell_85_messages_recog_single_psycho,0.6874,0.8148,350,577,349
mutual_transformation_journey,cell_85_messages_recog_single_psycho,0.6474,0.7912,428,605,319
mutual_transformation_journey,cell_85_messages_recog_single_psycho,0.6147,0.7692,428,486,209
mutual_transformation_journey,cell_85_messages_recog_single_psycho,0.5700,0.7283,497,460,378
mutual_transformation_journey,cell_85_messages_recog_single_psycho,0.6000,0.7576,328,564,174
mutual_transformation_journey,cell_85_messages_recog_single_psycho,0.6886,0.8161,301,466,372
mutual_transformation_journey,cell_85_messages_recog_single_psycho,0.6933,0.8193,325,475,312
mutual_transformation_journey,cell_85_messages_recog_single_psycho,0.6910,0.8261,345,380,176
mutual_transformation_journey,cell_85_messages_recog_single_psycho,0.7188,0.8391,427,549,265
mutual_transformation_journey,cell_85_messages_recog_single_psycho,0.6727,0.8125,322,480,196
mutual_transformation_journey,cell_85_messages_recog_single_psycho,0.6676,0.8030,310,503,187
mutual_transformation_journey,cell_85_messages_recog_single_psycho,0.7498,0.8592,302,564,242
trajectory_confusion_to_insight,cell_85_messages_recog_single_psycho,0.7085,0.8312,337,505,224
trajectory_confusion_to_insight,cell_85_messages_recog_single_psycho,0.7286,0.8434,345,475,352
trajectory_confusion_to_insight,cell_85_messages_recog_single_psycho,0.6703,0.8026,308,472,319
trajectory_confusion_to_insight,cell_85_messages_recog_single_psycho,0.5120,0.6825,317,469,219
trajectory_confusion_to_insight,cell_85_messages_recog_single_psycho,0.6338,0.7759,243,429,227
trajectory_confusion_to_insight,cell_85_messages_recog_single_psycho,0.7195,0.8387,269,455,200
trajectory_confusion_to_insight,cell_85_messages_recog_single_psycho,0.7360,0.8608,408,443,215
trajectory_confusion_to_insight,cell_85_messages_recog_single_psycho,0.6518,0.7941,346,474,245
trajectory_confusion_to_insight,cell_85_messages_recog_single_psycho,0.6760,0.8154,319,422,177
trajectory_confusion_to_insight,cell_85_messages_recog_single_psycho,0.6893,0.8242,485,482,223
trajectory_confusion_to_insight,cell_85_messages_recog_single_psycho,0.7533,0.8649,376,454,170
trajectory_confusion_to_insight,cell_85_messages_recog_single_psycho,0.5654,0.7258,288,397,197
trajectory_confusion_to_insight,cell_85_messages_recog_single_psycho,0.5189,0.6842,228,316,198
trajectory_confusion_to_insight,cell_85_messages_recog_single_psycho,0.6521,0.7963,247,360,166
